Age,Gender,Residential,EmploymentStatus,MaritalStatus,HouseholdCategory,OftenTravel,TravellingFor,YearlyTravel,StayDuration,PeopleDuringTravel,LodgingBudget,Seasons,LodgingLocation,LodgingType
25,Female,Urban,Employed full-time,Single,M40,No,Businesses,3,4,4,800,"Year-round, I travel regularly",City Centers,Hotels
25,Female,Rural,Employed full-time,Single,M40,No,Holiday,3,3,7,700,Autumn,Countryside,Hotels
21,Female,Urban,Student,Single,B40,Yes,Holiday,2,3,6,900,Autumn,Countryside,Airbnb
21,Male,Rural,Student,Single,B40,Yes,Holiday,2,5,4,500,Winter,Nature,Airbnb
39,Male,Rural,Employed full-time,Married,M40,No,Both,4,7,6,1000,Winter,City Centers,Hotels
35,Male,Rural,Employed full-time,Married,T20,No,Holiday,1,10,8,800,Winter,City Centers,Hotels
52,Male,Rural,Employed full-time,Married,T20,No,Holiday,2,10,8,900,Autumn,Nature,Hotels
28,Female,Rural,Employed full-time,Single,T20,No,Businesses,1,14,9,300,Winter,Countryside,Hotels
35,Female,Urban,Employed full-time,Married,M40,No,Holiday,2,7,4,400,Winter,Nature,Hotels
33,Female,Urban,Unemployed,Married,M40,No,Businesses,1,8,2,325,Autumn,Beachfront,Hotels
26,Male,Urban,Employed full-time,Single,M40,No,Holiday,1,5,9,1000,Autumn,Nature,Hotels
25,Female,Urban,Employed full-time,Single,B40,Yes,Holiday,2,3,5,300,Winter,City Centers,Airbnb
27,Female,Urban,Employed full-time,Single,B40,No,Holiday,1,2,5,350,Spring,City Centers,Hotels
41,Female,Rural,Self-employed,Married,B40,Yes,Both,3,2,4,200,"Year-round, I travel regularly",Beachfront,Airbnb
28,Female,Rural,Employed full-time,Single,B40,No,I don't travel,0,3,4,700,Autumn,Beachfront,Hotels
30,Male,Urban,Employed full-time,Married,T20,Yes,Holiday,2,5,8,850,Summer,Beachfront,Hotels
22,Female,Urban,Student,Single,M40,No,Holiday,1,7,6,500,Spring,Countryside,Airbnb
22,Female,Urban,Employed full-time,Single,B40,No,Holiday,4,3,4,600,Summer,City Centers,Hotels
21,Female,Urban,Student,Single,M40,No,Holiday,2,4,7,800,Winter,Beachfront,Hotels
21,Male,Rural,Student,Single,B40,No,Businesses,2,3,9,250,Summer,Nature,Airbnb
24,Female,Rural,Unemployed,Married,B40,Yes,Holiday,2,5,9,100,Autumn,Countryside,Airbnb
22,Female,Urban,Employed full-time,Single,B40,Yes,Businesses,4,2,6,150,Winter,Beachfront,Airbnb
23,Male,Rural,Student,Single,M40,No,Holiday,2,4,5,700,Winter,City Centers,Airbnb
23,Male,Urban,Student,Single,M40,No,I don't travel,0,3,6,600,Winter,Countryside,Hotels
47,Male,Urban,Employed full-time,Married,T20,Yes,Holiday,2,4,9,800,Summer,Nature,Airbnb
41,Female,Rural,Employed full-time,Married,T20,Yes,Holiday,3,10,2,600,Autumn,City Centers,Hotels
32,Female,Urban,Employed full-time,Married,M40,No,Holiday,3,4,5,1200,"Year-round, I travel regularly",Nature,Hotels
